,ID,Store ID,Total Price,Base Price,Units Sold,new_column
0,1,8091,99.0375,111.8625,20,2026-09-22 21:40:20.451076
1,2,8091,99.0375,99.0375,28,2026-09-22 21:40:20.451076
2,3,8091,133.95,133.95,19,2026-09-22 21:40:20.451076
3,4,8091,133.95,133.95,44,2026-09-22 21:40:20.451076
4,5,8091,141.075,141.075,52,2026-09-22 21:40:20.451076
5,9,8091,227.2875,227.2875,18,2026-09-22 21:40:20.451076
6,10,8091,327.0375,327.0375,47,2026-09-22 21:40:20.451076
7,13,8091,210.9,210.9,50,2026-09-22 21:40:20.451076
8,14,8091,190.2375,234.4125,82,2026-09-22 21:40:20.451076
9,17,8095,99.0375,99.0375,99,2026-09-22 21:40:20.451076
10,18,8095,97.6125,97.6125,120,2026-09-22 21:40:20.451076
11,19,8095,98.325,98.325,40,2026-09-22 21:40:20.451076
12,22,8095,133.2375,133.2375,68,2026-09-22 21:40:20.451076
13,23,8095,133.95,133.95,87,2026-09-22 21:40:20.451076
14,24,8095,139.65,139.65,186,2026-09-22 21:40:20.451076
15,27,8095,236.55,280.0125,54,2026-09-22 21:40:20.451076
16,28,8095,214.4625,214.4625,74,2026-09-22 21:40:20.451076
17,29,8095,266.475,296.4,102,2026-09-22 21:40:20.451076
18,30,8095,173.85,192.375,214,2026-09-22 21:40:20.451076
19,31,8095,205.9125,205.9125,28,2026-09-22 21:40:20.451076
20,32,8095,205.9125,205.9125,7,2026-09-22 21:40:20.451076
21,33,8095,248.6625,248.6625,48,2026-09-22 21:40:20.451076
22,34,8095,200.925,200.925,78,2026-09-22 21:40:20.451076
23,35,8095,190.2375,240.825,57,2026-09-22 21:40:20.451076
24,37,8095,427.5,448.1625,50,2026-09-22 21:40:20.451076
25,38,8095,429.6375,458.1375,62,2026-09-22 21:40:20.451076
26,39,8095,177.4125,177.4125,22,2026-09-22 21:40:20.451076
27,42,8094,87.6375,87.6375,109,2026-09-22 21:40:20.451076
28,43,8094,88.35,88.35,133,2026-09-22 21:40:20.451076
29,44,8094,85.5,85.5,11,2026-09-22 21:40:20.451076
30,45,8094,128.25,180.975,9,2026-09-22 21:40:20.451076
31,47,8094,127.5375,127.5375,19,2026-09-22 21:40:20.451076
32,48,8094,123.975,123.975,33,2026-09-22 21:40:20.451076
33,49,8094,139.65,164.5875,49,2026-09-22 21:40:20.451076
34,50,8094,235.8375,235.8375,32,2026-09-22 21:40:20.451076
35,51,8094,234.4125,234.4125,47,2026-09-22 21:40:20.451076
36,52,8094,235.125,235.125,27,2026-09-22 21:40:20.451076
37,53,8094,227.2875,227.2875,69,2026-09-22 21:40:20.451076
38,54,8094,312.7875,312.7875,49,2026-09-22 21:40:20.451076
39,55,8094,210.9,210.9,60,2026-09-22 21:40:20.451076
40,56,8094,177.4125,177.4125,27,2026-09-22 21:40:20.451076
41,57,8094,177.4125,177.4125,33,2026-09-22 21:40:20.451076
42,58,8094,240.825,240.825,18,2026-09-22 21:40:20.451076
43,59,8094,213.0375,213.0375,72,2026-09-22 21:40:20.451076
44,60,8094,190.95,213.0375,81,2026-09-22 21:40:20.451076
45,61,8094,426.7875,448.1625,11,2026-09-22 21:40:20.451076
46,62,8094,426.7875,448.875,13,2026-09-22 21:40:20.451076
47,63,8094,426.7875,448.1625,28,2026-09-22 21:40:20.451076
48,65,8094,170.2875,170.2875,16,2026-09-22 21:40:20.451076
49,66,8094,178.125,205.9125,10,2026-09-22 21:40:20.451076
50,67,8094,178.125,200.2125,20,2026-09-22 21:40:20.451076
51,68,8063,82.65,82.65,48,2026-09-22 21:40:20.451076
52,69,8063,84.075,84.075,62,2026-09-22 21:40:20.451076
53,72,8063,128.25,128.25,28,2026-09-22 21:40:20.451076
54,73,8063,143.2125,166.725,23,2026-09-22 21:40:20.451076
55,74,8063,231.5625,231.5625,6,2026-09-22 21:40:20.451076
56,75,8063,232.9875,232.9875,14,2026-09-22 21:40:20.451076
57,77,8063,227.2875,227.2875,81,2026-09-22 21:40:20.451076
58,78,8063,295.6875,295.6875,22,2026-09-22 21:40:20.451076
59,79,8063,216.6,216.6,45,2026-09-22 21:40:20.451076
60,80,8063,177.4125,177.4125,9,2026-09-22 21:40:20.451076
61,81,8063,177.4125,177.4125,11,2026-09-22 21:40:20.451076
62,83,8063,205.2,205.2,30,2026-09-22 21:40:20.451076
63,84,8063,205.9125,205.9125,54,2026-09-22 21:40:20.451076
64,85,8063,190.2375,212.325,55,2026-09-22 21:40:20.451076
65,87,8063,426.7875,448.875,29,2026-09-22 21:40:20.451076
66,88,8063,426.7875,448.1625,9,2026-09-22 21:40:20.451076
67,90,8063,170.2875,170.2875,3,2026-09-22 21:40:20.451076
68,91,8063,183.1125,183.1125,8,2026-09-22 21:40:20.451076
69,92,8063,178.125,205.9125,10,2026-09-22 21:40:20.451076
70,93,8023,98.325,88.35,233,2026-09-22 21:40:20.451076
71,94,8023,98.325,88.35,256,2026-09-22 21:40:20.451076
72,95,8023,98.325,98.325,52,2026-09-22 21:40:20.451076
73,96,8023,184.5375,321.3375,18,2026-09-22 21:40:20.451076
74,98,8023,133.95,133.95,58,2026-09-22 21:40:20.451076
75,99,8023,134.6625,134.6625,114,2026-09-22 21:40:20.451076
76,100,8023,140.3625,140.3625,226,2026-09-22 21:40:20.451076
77,104,8023,205.2,205.2,189,2026-09-22 21:40:20.451076
78,105,8023,310.65,310.65,121,2026-09-22 21:40:20.451076
79,106,8023,169.575,220.1625,391,2026-09-22 21:40:20.451076
80,107,8023,205.9125,205.9125,60,2026-09-22 21:40:20.451076
81,108,8023,205.9125,205.9125,26,2026-09-22 21:40:20.451076
82,110,8023,241.5375,241.5375,155,2026-09-22 21:40:20.451076
83,111,8023,192.375,192.375,91,2026-09-22 21:40:20.451076
84,112,8023,190.2375,236.55,59,2026-09-22 21:40:20.451076
85,113,8023,431.775,448.1625,32,2026-09-22 21:40:20.451076
86,114,8023,426.7875,448.1625,51,2026-09-22 21:40:20.451076
87,115,8023,428.2125,448.1625,112,2026-09-22 21:40:20.451076
88,116,8023,460.275,460.275,32,2026-09-22 21:40:20.451076
89,117,8023,177.4125,177.4125,54,2026-09-22 21:40:20.451076
90,119,8023,355.5375,355.5375,14,2026-09-22 21:40:20.451076
91,120,8058,98.325,98.325,104,2026-09-22 21:40:20.451076
92,121,8058,98.325,98.325,107,2026-09-22 21:40:20.451076
93,123,8058,133.2375,133.2375,25,2026-09-22 21:40:20.451076
94,124,8058,133.95,133.95,43,2026-09-22 21:40:20.451076
95,125,8058,139.65,116.1375,82,2026-09-22 21:40:20.451076
96,128,8058,236.55,280.0125,84,2026-09-22 21:40:20.451076
97,129,8058,208.05,208.05,51,2026-09-22 21:40:20.451076
98,130,8058,288.5625,288.5625,24,2026-09-22 21:40:20.451076
99,131,8058,170.2875,210.9,173,2026-09-22 21:40:20.451076
100,132,8058,205.9125,205.9125,22,2026-09-22 21:40:20.451076
101,133,8058,205.9125,205.9125,12,2026-09-22 21:40:20.451076
102,134,8058,241.5375,241.5375,50,2026-09-22 21:40:20.451076
103,135,8058,213.0375,213.0375,42,2026-09-22 21:40:20.451076
104,138,8058,426.7875,448.1625,31,2026-09-22 21:40:20.451076
105,139,8058,426.7875,448.1625,41,2026-09-22 21:40:20.451076
106,143,8222,97.6125,97.6125,101,2026-09-22 21:40:20.451076
107,144,8222,97.6125,97.6125,76,2026-09-22 21:40:20.451076
108,145,8222,98.325,98.325,52,2026-09-22 21:40:20.451076
109,146,8222,184.5375,184.5375,8,2026-09-22 21:40:20.451076
110,148,8222,131.8125,131.8125,74,2026-09-22 21:40:20.451076
111,149,8222,134.6625,134.6625,50,2026-09-22 21:40:20.451076
112,150,8222,138.9375,138.9375,148,2026-09-22 21:40:20.451076
113,152,8222,205.9125,205.9125,77,2026-09-22 21:40:20.451076
114,153,8222,303.525,303.525,43,2026-09-22 21:40:20.451076
115,154,8222,183.1125,205.2,332,2026-09-22 21:40:20.451076
116,155,8222,205.9125,205.9125,31,2026-09-22 21:40:20.451076
117,156,8222,205.9125,205.9125,13,2026-09-22 21:40:20.451076
118,158,8222,227.2875,227.2875,80,2026-09-22 21:40:20.451076
119,159,8222,200.2125,200.2125,77,2026-09-22 21:40:20.451076
120,161,8222,426.7875,448.1625,23,2026-09-22 21:40:20.451076
121,162,8222,426.7875,448.1625,51,2026-09-22 21:40:20.451076
122,163,8222,428.925,448.1625,65,2026-09-22 21:40:20.451076
123,165,8222,177.4125,177.4125,19,2026-09-22 21:40:20.451076
124,168,8121,84.075,84.075,61,2026-09-22 21:40:20.451076
125,172,8121,123.2625,123.2625,25,2026-09-22 21:40:20.451076
126,173,8121,123.2625,123.2625,46,2026-09-22 21:40:20.451076
127,174,8121,136.8,170.2875,18,2026-09-22 21:40:20.451076
128,175,8121,230.85,230.85,33,2026-09-22 21:40:20.451076
129,176,8121,231.5625,231.5625,23,2026-09-22 21:40:20.451076
130,177,8121,234.4125,234.4125,34,2026-09-22 21:40:20.451076
131,178,8121,227.2875,227.2875,53,2026-09-22 21:40:20.451076
132,179,8121,295.6875,295.6875,20,2026-09-22 21:40:20.451076
133,180,8121,199.5,223.725,55,2026-09-22 21:40:20.451076
134,181,8121,177.4125,177.4125,26,2026-09-22 21:40:20.451076
135,182,8121,177.4125,177.4125,13,2026-09-22 21:40:20.451076
136,184,8121,205.2,205.2,22,2026-09-22 21:40:20.451076
137,185,8121,205.9125,205.9125,44,2026-09-22 21:40:20.451076
138,186,8121,190.95,212.325,60,2026-09-22 21:40:20.451076
139,187,8121,426.7875,448.1625,17,2026-09-22 21:40:20.451076
140,188,8121,428.2125,448.1625,30,2026-09-22 21:40:20.451076
141,189,8121,426.7875,448.1625,26,2026-09-22 21:40:20.451076
142,190,8218,83.3625,82.65,49,2026-09-22 21:40:20.451076
143,191,8218,82.65,71.25,46,2026-09-22 21:40:20.451076
144,193,8218,126.1125,126.1125,18,2026-09-22 21:40:20.451076
145,194,8218,128.25,128.25,18,2026-09-22 21:40:20.451076
146,195,8218,111.8625,167.4375,17,2026-09-22 21:40:20.451076
147,196,8218,237.975,237.975,3,2026-09-22 21:40:20.451076
148,199,8218,217.3125,217.3125,31,2026-09-22 21:40:20.451076
149,200,8218,264.3375,295.6875,30,2026-09-22 21:40:20.451076
150,201,8218,191.6625,223.725,10,2026-09-22 21:40:20.451076
151,202,8218,177.4125,177.4125,14,2026-09-22 21:40:20.451076
152,205,8218,205.9125,205.9125,31,2026-09-22 21:40:20.451076
153,206,8218,190.95,212.325,30,2026-09-22 21:40:20.451076
154,209,8218,428.2125,448.875,24,2026-09-22 21:40:20.451076
155,212,8317,83.3625,84.075,22,2026-09-22 21:40:20.451076
156,213,8317,83.3625,82.65,39,2026-09-22 21:40:20.451076
157,216,8317,132.525,132.525,19,2026-09-22 21:40:20.451076
158,217,8317,125.4,125.4,68,2026-09-22 21:40:20.451076
159,218,8317,141.075,167.4375,74,2026-09-22 21:40:20.451076
160,219,8317,237.975,237.975,14,2026-09-22 21:40:20.451076
161,222,8317,227.2875,227.2875,172,2026-09-22 21:40:20.451076
162,223,8317,295.6875,295.6875,40,2026-09-22 21:40:20.451076
163,224,8317,207.3375,207.3375,156,2026-09-22 21:40:20.451076
164,225,8317,177.4125,177.4125,91,2026-09-22 21:40:20.451076
165,226,8317,177.4125,177.4125,76,2026-09-22 21:40:20.451076
166,228,8317,205.2,205.2,97,2026-09-22 21:40:20.451076
167,229,8317,188.1,188.1,50,2026-09-22 21:40:20.451076
168,230,8317,190.95,212.325,84,2026-09-22 21:40:20.451076
169,231,8317,431.775,450.3,18,2026-09-22 21:40:20.451076
170,232,8317,426.7875,448.875,21,2026-09-22 21:40:20.451076
171,233,8317,428.925,448.1625,42,2026-09-22 21:40:20.451076
